source,structure,structure_type,layer_id,layer_weight,layer_number,layer_minimum_thickness_mm,layer_load_bearing_thickness_mm,layer_tag,structure_material,layer_notes
ETOL_1900,DH_BF_log,base_floor,37,1,-2,20,,interior finish,wood,20x100 boards estimated
ETOL_1900,AB_R_log,roof,38,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,AB_R_log,roof,39,0.75,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1900,AB_R_log,roof,40,0.25,1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,AB_R_log,roof,41,0.75,1,25,,weight,sand,
ETOL_1900,AB_R_log,roof,42,1,2,20,,boarding,wood,attic floor
ETOL_1900,AB_R_log,roof,43,1,3,85,,fireproofing,brick,fireproofing between load-bearing structures and roofing
ETOL_1900,AB_R_log,roof,44,1,4,100,,ventilation space,ventilation space,
ETOL_1900,AB_R_log,roof,45,0.08333333333333333,5,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1900,AB_R_log,roof,46,0.9166666666666666,5,100,,ventilation space,ventilation space,
ETOL_1900,AB_R_log,roof,47,1,6,20,,boarding,wood,
ETOL_1900,AB_R_log,roof,48,1,7,0,,exterior finish,none,roofing
ETOL_1900,AB_R_log,roof,49,1,-1,0,,filter,cardboard,
ETOL_1900,AB_R_log,roof,50,1,-2,20,,interior finish,wood,ceiling
ETOL_1900,AB_PW_brick,partition_wall,51,1,0,240,480,load-bearing structure,brick,
ETOL_1900,AB_PW_brick,partition_wall,52,1,1,0,,exterior finish,none,
ETOL_1900,AB_PW_brick,partition_wall,53,1,-1,0,,interior finish,none,
ETOL_1900,AB_EW_brick,exterior_wall,54,1,0,600,600,load-bearing structure,brick,solid 2½ brick wall
ETOL_1900,AB_EW_brick,exterior_wall,55,1,1,0,,exterior finish,none,
ETOL_1900,AB_EW_brick,exterior_wall,56,1,-1,0,,interior finish,none,
ETOL_1900,AB_BF_brick,base_floor,57,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,AB_BF_brick,base_floor,58,0.75,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1900,AB_BF_brick,base_floor,59,0.05,1,85,,arch,brick,
ETOL_1900,AB_BF_brick,base_floor,60,0.95,1,85,,load-bearing structure,steel,
ETOL_1900,AB_BF_brick,base_floor,61,1,2,1600,,crawl space,ventilation space,"basement estimated as ""crawl space"""
ETOL_1900,AB_BF_brick,base_floor,62,1,3,60,,slab,concrete,basement floor
ETOL_1900,AB_BF_brick,base_floor,63,1,4,200,,french drain,gravel,
ETOL_1900,AB_BF_brick,base_floor,64,1,5,0,,ground,none,
ETOL_1900,AB_BF_brick,base_floor,65,0.25,-1,25,,weight,sand,
ETOL_1900,AB_BF_brick,base_floor,66,0.75,-1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1900,AB_BF_brick,base_floor,67,1,-2,20,,interior finish,wood,20x100 boards estimated
ETOL_1920,DH_SF_timber,separating_floor,68,0.125,0,150,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_SF_timber,separating_floor,69,0.875,0,150,,soundproofing,wood chips and sawdust,
ETOL_1920,DH_SF_timber,separating_floor,70,0.125,1,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_SF_timber,separating_floor,71,0.875,1,25,,weight,sand,
ETOL_1920,DH_SF_timber,separating_floor,72,0.125,2,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_SF_timber,separating_floor,73,0.875,2,25,,ventilation space,ventilation space,
ETOL_1920,DH_SF_timber,separating_floor,74,1,3,20,,exterior finish,wood,20x100 floor boards estimated
ETOL_1920,DH_SF_timber,separating_floor,75,1,-1,0,,filter,cardboard,
ETOL_1920,DH_SF_timber,separating_floor,76,1,-2,20,,interior finish,wood,20x100 ceiling boards estimated
ETOL_1920,DH_R_timber,roof,77,0.125,0,150,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_R_timber,roof,78,0.875,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1920,DH_R_timber,roof,79,0.125,1,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_R_timber,roof,80,0.875,1,25,,weight,sand,
ETOL_1920,DH_R_timber,roof,81,0.125,2,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_R_timber,roof,82,0.875,2,25,,ventilation space,ventilation space,
ETOL_1920,DH_R_timber,roof,83,1,3,20,,boarding,wood,attic floor
ETOL_1920,DH_R_timber,roof,84,1,4,100,,ventilation space,ventilation space,
ETOL_1920,DH_R_timber,roof,85,0.08333333333333333,5,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1920,DH_R_timber,roof,86,0.9166666666666666,5,100,,ventilation space,ventilation space,
ETOL_1920,DH_R_timber,roof,87,1,6,20,,boarding,wood,
ETOL_1920,DH_R_timber,roof,88,1,7,0,,exterior finish,none,roofing
ETOL_1920,DH_R_timber,roof,89,1,-1,0,,filter,cardboard,
ETOL_1920,DH_R_timber,roof,90,1,-2,20,,interior finish,wood,ceiling
ETOL_1920,DH_PW_timber,partition_wall,91,0.08333333333333333,0,100,100,load-bearing structure,wood,50x100 k 600 timber frame assumed
ETOL_1920,DH_PW_timber,partition_wall,92,0.9166666666666666,0,100,100,ventilation space,ventilation space,
ETOL_1920,DH_PW_timber,partition_wall,93,1,1,20,,exterior finish,wood,20x100 boarding assumed
ETOL_1920,DH_PW_timber,partition_wall,94,1,-1,20,,interior finish,wood,20x100 boarding assumed
ETOL_1920,DH_PW_log,partition_wall,95,1,0,200,200,load-bearing structure,wood,200 mm thick logs
ETOL_1920,DH_PW_log,partition_wall,96,1,1,0,,exterior finish,none,
ETOL_1920,DH_PW_log,partition_wall,97,1,-1,0,,interior finish,none,
ETOL_1920,DH_EW_log,exterior_wall,98,1,0,200,200,load-bearing structure,wood,
ETOL_1920,DH_EW_log,exterior_wall,99,1,1,20,,exterior finish,wood,20x100 exterior boarding estimated
ETOL_1920,DH_EW_log,exterior_wall,100,1,-1,20,,interior finish,wood,20x100 interior boarding estimated
ETOL_1920,DH_BF_timber_b,base_floor,101,0.125,0,200,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_BF_timber_b,base_floor,102,0.875,0,200,,thermal insulation,wood chips and sawdust,
ETOL_1920,DH_BF_timber_b,base_floor,103,1,1,0,,filter,cardboard,
ETOL_1920,DH_BF_timber_b,base_floor,104,1,2,20,,boarding,wood,20x100 boards estimated
ETOL_1920,DH_BF_timber_b,base_floor,105,1,3,1600,,crawl space,ventilation space,"basement estimated as ""crawl space"""
ETOL_1920,DH_BF_timber_b,base_floor,106,1,4,60,,slab,concrete,basement floor
ETOL_1920,DH_BF_timber_b,base_floor,107,1,5,200,,french drain,gravel,
ETOL_1920,DH_BF_timber_b,base_floor,108,1,6,0,,ground,none,
ETOL_1920,DH_BF_timber_b,base_floor,109,0.08333333333333333,-1,25,,furring,wood,50x50 furring estimated
ETOL_1920,DH_BF_timber_b,base_floor,110,0.9166666666666666,-1,25,,weight,sand,
ETOL_1920,DH_BF_timber_b,base_floor,111,0.08333333333333333,-2,25,,furring,wood,50x50 furring estimated
ETOL_1920,DH_BF_timber_b,base_floor,112,0.9166666666666666,-2,25,,ventilation space,ventilation space,
ETOL_1920,DH_BF_timber_b,base_floor,113,1,-3,20,,interior finish,wood,boarding
ETOL_1920,DH_BF_timber,base_floor,114,0.125,0,200,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,DH_BF_timber,base_floor,115,0.875,0,200,,thermal insulation,wood chips and sawdust,
ETOL_1920,DH_BF_timber,base_floor,116,1,1,0,,filter,cardboard,
ETOL_1920,DH_BF_timber,base_floor,117,1,2,20,,boarding,wood,20x100 boards estimated
ETOL_1920,DH_BF_timber,base_floor,118,1,3,400,,crawl space,ventilation space,
ETOL_1920,DH_BF_timber,base_floor,119,1,4,60,,slab,concrete,basement floor
ETOL_1920,DH_BF_timber,base_floor,120,1,5,200,,french drain,gravel,
ETOL_1920,DH_BF_timber,base_floor,121,1,6,0,,ground,none,
ETOL_1920,DH_BF_timber,base_floor,122,0.08333333333333333,-1,25,,furring,wood,50x50 furring estimated
ETOL_1920,DH_BF_timber,base_floor,123,0.9166666666666666,-1,25,,weight,sand,
ETOL_1920,DH_BF_timber,base_floor,124,0.08333333333333333,-2,25,,furring,wood,50x50 furring estimated
ETOL_1920,DH_BF_timber,base_floor,125,0.9166666666666666,-2,25,,ventilation space,ventilation space,
ETOL_1920,DH_BF_timber,base_floor,126,1,-3,20,,interior finish,wood,boarding
ETOL_1920,AB_SF_concrete,separating_floor,127,0.1,0,230,,load-bearing structure,reinforced concrete,100x300 k 1000 reinforced concrete beams estimated
ETOL_1920,AB_SF_concrete,separating_floor,128,0.9,0,230,,soundproofing,wood chips and sawdust,
ETOL_1920,AB_SF_concrete,separating_floor,129,0.1,1,30,,load-bearing structure,reinforced concrete,100x300 k 1000 reinforced concrete beams estimated
ETOL_1920,AB_SF_concrete,separating_floor,130,0.9,1,30,,weight,sand,
ETOL_1920,AB_SF_concrete,separating_floor,131,0.08333333333333333,2,100,,furring,wood,
ETOL_1920,AB_SF_concrete,separating_floor,132,0.9166666666666666,2,100,,ventilation space,ventilation space,
ETOL_1920,AB_SF_concrete,separating_floor,133,1,3,20,,exterior finish,wood,floor boarding
ETOL_1920,AB_SF_concrete,separating_floor,134,1,-1,40,,load-bearing structure,reinforced concrete,thin reinforced concrete slab
ETOL_1920,AB_SF_concrete,separating_floor,135,1,-2,0,,interior finish,none,
ETOL_1920,AB_R_timber,roof,136,0.125,0,150,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,AB_R_timber,roof,137,0.875,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1920,AB_R_timber,roof,138,0.125,1,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,AB_R_timber,roof,139,0.875,1,25,,weight,sand,
ETOL_1920,AB_R_timber,roof,140,0.125,2,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1920,AB_R_timber,roof,141,0.875,2,25,,ventilation space,ventilation space,
ETOL_1920,AB_R_timber,roof,142,1,3,20,,boarding,wood,attic floor
ETOL_1920,AB_R_timber,roof,143,1,4,85,,fireproofing,brick,fireproofing between load-bearing structures and roofing
ETOL_1920,AB_R_timber,roof,144,1,5,100,,ventilation space,ventilation space,
ETOL_1920,AB_R_timber,roof,145,0.08333333333333333,6,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1920,AB_R_timber,roof,146,0.9166666666666666,6,100,,ventilation space,ventilation space,
ETOL_1920,AB_R_timber,roof,147,1,7,20,,boarding,wood,
ETOL_1920,AB_R_timber,roof,148,1,8,0,,exterior finish,none,roofing
ETOL_1920,AB_R_timber,roof,149,1,-1,0,,filter,cardboard,
ETOL_1920,AB_R_timber,roof,150,1,-2,20,,interior finish,wood,ceiling
ETOL_1920,AB_PW_brick,partition_wall,151,1,0,240,480,load-bearing structure,brick,
ETOL_1920,AB_PW_brick,partition_wall,152,1,1,0,,exterior finish,none,
ETOL_1920,AB_PW_brick,partition_wall,153,1,-1,0,,interior finish,none,
ETOL_1920,AB_EW_brick,exterior_wall,154,1,0,600,600,load-bearing structure,brick,solid 2½ brick wall
ETOL_1920,AB_EW_brick,exterior_wall,155,1,1,0,,exterior finish,none,
ETOL_1920,AB_EW_brick,exterior_wall,156,1,-1,0,,interior finish,none,
ETOL_1920,AB_BF_concrete,base_floor,157,1,0,100,,load-bearing structure,concrete,
ETOL_1920,AB_BF_concrete,base_floor,158,1,1,200,,french drain layer,gravel,
ETOL_1920,AB_BF_concrete,base_floor,159,1,2,0,,ground,none,
ETOL_1920,AB_BF_concrete,base_floor,160,1,-1,0,,interior finish,none,
ETOL_1920,AB_BF_brick,base_floor,161,0.25,0,150,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1920,AB_BF_brick,base_floor,162,0.75,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1920,AB_BF_brick,base_floor,163,0.05,1,85,,arch,brick,
ETOL_1920,AB_BF_brick,base_floor,164,0.95,1,85,,load-bearing structure,steel,
ETOL_1920,AB_BF_brick,base_floor,165,1,2,1600,,crawl space,ventilation space,"basement estimated as ""crawl space"""
ETOL_1920,AB_BF_brick,base_floor,166,1,3,60,,slab,concrete,basement floor
ETOL_1920,AB_BF_brick,base_floor,167,1,4,200,,french drain,gravel,
ETOL_1920,AB_BF_brick,base_floor,168,1,5,0,,ground,none,
ETOL_1920,AB_BF_brick,base_floor,169,0.25,-1,25,,weight,sand,
ETOL_1920,AB_BF_brick,base_floor,170,0.75,-1,25,,load-bearing structure,wood,150x175 k 600 logs estimated
ETOL_1920,AB_BF_brick,base_floor,171,1,-2,20,,interior finish,wood,20x100 boards estimated
ETOL_1945,DH_SF_timber,separating_floor,172,0.125,0,150,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_SF_timber,separating_floor,173,0.875,0,150,,soundproofing,wood chips and sawdust,
ETOL_1945,DH_SF_timber,separating_floor,174,0.125,1,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_SF_timber,separating_floor,175,0.875,1,25,,weight,sand,
ETOL_1945,DH_SF_timber,separating_floor,176,0.125,2,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_SF_timber,separating_floor,177,0.875,2,25,,ventilation space,ventilation space,
ETOL_1945,DH_SF_timber,separating_floor,178,1,3,20,,exterior finish,wood,20x100 floor boards estimated
ETOL_1945,DH_SF_timber,separating_floor,179,1,-1,0,,filter,cardboard,
ETOL_1945,DH_SF_timber,separating_floor,180,1,-2,20,,interior finish,wood,20x100 ceiling boards estimated
ETOL_1945,DH_R_timber_200,roof,181,0.125,0,200,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_R_timber_200,roof,182,0.875,0,200,,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_R_timber_200,roof,183,0.08333333333333333,1,25,,furring,wood,50x50 k 600 furring estimated
ETOL_1945,DH_R_timber_200,roof,184,0.9166666666666666,1,25,,weight,sand,
ETOL_1945,DH_R_timber_200,roof,185,0.08333333333333333,2,25,,furring,wood,50x50 k 600 furring estimated
ETOL_1945,DH_R_timber_200,roof,186,0.9166666666666666,2,25,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_200,roof,187,1,3,20,,boarding,wood,attic floor
ETOL_1945,DH_R_timber_200,roof,188,1,4,100,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_200,roof,189,0.08333333333333333,5,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1945,DH_R_timber_200,roof,190,0.9166666666666666,5,100,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_200,roof,191,1,6,20,,boarding,wood,
ETOL_1945,DH_R_timber_200,roof,192,1,7,0,,exterior finish,none,roofing
ETOL_1945,DH_R_timber_200,roof,193,1,-1,0,,filter,cardboard,
ETOL_1945,DH_R_timber_200,roof,194,1,-2,20,,interior finish,wood,ceiling
ETOL_1945,DH_R_timber_150,roof,195,0.125,0,150,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_R_timber_150,roof,196,0.875,0,150,,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_R_timber_150,roof,197,0.125,1,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_R_timber_150,roof,198,0.875,1,25,,weight,sand,
ETOL_1945,DH_R_timber_150,roof,199,0.125,2,25,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_R_timber_150,roof,200,0.875,2,25,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_150,roof,201,1,3,20,,boarding,wood,attic floor
ETOL_1945,DH_R_timber_150,roof,202,1,4,100,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_150,roof,203,0.08333333333333333,5,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1945,DH_R_timber_150,roof,204,0.9166666666666666,5,100,,ventilation space,ventilation space,
ETOL_1945,DH_R_timber_150,roof,205,1,6,20,,boarding,wood,
ETOL_1945,DH_R_timber_150,roof,206,1,7,0,,exterior finish,none,roofing
ETOL_1945,DH_R_timber_150,roof,207,1,-1,0,,filter,cardboard,
ETOL_1945,DH_R_timber_150,roof,208,1,-2,20,,interior finish,wood,ceiling
ETOL_1945,DH_PW_timber_b,partition_wall,209,0.08333333333333333,0,100,100,load-bearing structure,wood,50x100 k 600 timber frame assumed
ETOL_1945,DH_PW_timber_b,partition_wall,210,0.9166666666666666,0,100,100,ventilation space,ventilation space,
ETOL_1945,DH_PW_timber_b,partition_wall,211,1,1,0,,soundproofing,cardboard,
ETOL_1945,DH_PW_timber_b,partition_wall,212,1,2,20,,boarding,wood,20x100 boarding assumed
ETOL_1945,DH_PW_timber_b,partition_wall,213,1,3,0,,exterior finish,none,
ETOL_1945,DH_PW_timber_b,partition_wall,214,1,-1,0,,soundproofing,cardboard,
ETOL_1945,DH_PW_timber_b,partition_wall,215,1,-2,20,,boarding,wood,20x100 boarding assumed
ETOL_1945,DH_PW_timber_b,partition_wall,216,1,-3,0,,interior finish,none,
ETOL_1945,DH_PW_timber,partition_wall,217,0.08333333333333333,0,100,100,load-bearing structure,wood,50x100 k 600 timber frame assumed
ETOL_1945,DH_PW_timber,partition_wall,218,0.9166666666666666,0,100,100,ventilation space,ventilation space,
ETOL_1945,DH_PW_timber,partition_wall,219,1,1,20,,exterior finish,wood,20x100 boarding assumed
ETOL_1945,DH_PW_timber,partition_wall,220,1,-1,20,,interior finish,wood,20x100 boarding assumed
ETOL_1945,DH_EW_timber_125,exterior_wall,221,0.08333333333333333,0,125,125,load-bearing structure,wood,50x125 k 600 timber frame estimated
ETOL_1945,DH_EW_timber_125,exterior_wall,222,0.9166666666666666,0,125,125,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_EW_timber_125,exterior_wall,223,1,1,0,,filter,cardboard,
ETOL_1945,DH_EW_timber_125,exterior_wall,224,0.16666666666666666,2,20,,furring,wood,20x100 k 600 furring estimated
ETOL_1945,DH_EW_timber_125,exterior_wall,225,0.8333333333333334,2,20,,ventilation space,ventilation space,
ETOL_1945,DH_EW_timber_125,exterior_wall,226,1,3,20,,exterior finish,wood,20x100 exterior boarding
ETOL_1945,DH_EW_timber_125,exterior_wall,227,1,-1,0,,filter,cardboard,
ETOL_1945,DH_EW_timber_125,exterior_wall,228,1,-2,20,,interior finish,wood,20x100 interior boarding
ETOL_1945,DH_EW_timber_100,exterior_wall,229,0.08333333333333333,0,100,100,load-bearing structure,wood,50x100 k 600 timber frame estimated
ETOL_1945,DH_EW_timber_100,exterior_wall,230,0.9166666666666666,0,100,100,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_EW_timber_100,exterior_wall,231,1,1,0,,filter,cardboard,
ETOL_1945,DH_EW_timber_100,exterior_wall,232,0.16666666666666666,2,20,,furring,wood,20x100 k 600 furring estimated
ETOL_1945,DH_EW_timber_100,exterior_wall,233,0.8333333333333334,2,20,,ventilation space,ventilation space,
ETOL_1945,DH_EW_timber_100,exterior_wall,234,1,3,20,,exterior finish,wood,20x100 exterior boarding
ETOL_1945,DH_EW_timber_100,exterior_wall,235,1,-1,0,,filter,cardboard,
ETOL_1945,DH_EW_timber_100,exterior_wall,236,1,-2,20,,interior finish,wood,20x100 interior boarding
ETOL_1945,DH_BF_timber_b,base_floor,237,0.125,0,400,,load-bearing structure,wood,2x(75x200) k 600 planks estimated
ETOL_1945,DH_BF_timber_b,base_floor,238,0.875,0,400,,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_BF_timber_b,base_floor,239,1,1,0,,filter,cardboard,
ETOL_1945,DH_BF_timber_b,base_floor,240,1,2,20,,boarding,wood,20x100 boards estimated
ETOL_1945,DH_BF_timber_b,base_floor,241,1,3,1600,,crawl space,ventilation space,"basement estimated as ""crawl space"""
ETOL_1945,DH_BF_timber_b,base_floor,242,1,4,60,,slab,concrete,basement floor
ETOL_1945,DH_BF_timber_b,base_floor,243,1,5,200,,french drain,gravel,
ETOL_1945,DH_BF_timber_b,base_floor,244,1,6,0,,ground,none,
ETOL_1945,DH_BF_timber_b,base_floor,245,0.08333333333333333,-1,25,,furring,wood,50x50 furring estimated
ETOL_1945,DH_BF_timber_b,base_floor,246,0.9166666666666666,-1,25,,weight,sand,
ETOL_1945,DH_BF_timber_b,base_floor,247,0.08333333333333333,-2,25,,furring,wood,50x50 furring estimated
ETOL_1945,DH_BF_timber_b,base_floor,248,0.9166666666666666,-2,25,,ventilation space,ventilation space,
ETOL_1945,DH_BF_timber_b,base_floor,249,1,-3,20,,interior finish,wood,boarding
ETOL_1945,DH_BF_timber,base_floor,250,0.125,0,200,,load-bearing structure,wood,75x200 k 600 planks estimated
ETOL_1945,DH_BF_timber,base_floor,251,0.875,0,200,,thermal insulation,wood chips and sawdust,
ETOL_1945,DH_BF_timber,base_floor,252,1,1,0,,filter,cardboard,
ETOL_1945,DH_BF_timber,base_floor,253,1,2,20,,boarding,wood,20x100 boards estimated
ETOL_1945,DH_BF_timber,base_floor,254,1,3,400,,crawl space,ventilation space,
ETOL_1945,DH_BF_timber,base_floor,255,1,4,60,,slab,concrete,basement floor
ETOL_1945,DH_BF_timber,base_floor,256,1,5,200,,french drain,gravel,
ETOL_1945,DH_BF_timber,base_floor,257,1,6,0,,ground,none,
ETOL_1945,DH_BF_timber,base_floor,258,0.08333333333333333,-1,25,,furring,wood,50x50 furring estimated
ETOL_1945,DH_BF_timber,base_floor,259,0.9166666666666666,-1,25,,weight,sand,
ETOL_1945,DH_BF_timber,base_floor,260,0.08333333333333333,-2,25,,furring,wood,50x50 furring estimated
ETOL_1945,DH_BF_timber,base_floor,261,0.9166666666666666,-2,25,,ventilation space,ventilation space,
ETOL_1945,DH_BF_timber,base_floor,262,1,-3,20,,interior finish,wood,boarding
ETOL_1945,AB_SF_concrete_b,separating_floor,263,1,0,150,,load-bearing structure,reinforced concrete,
ETOL_1945,AB_SF_concrete_b,separating_floor,264,1,1,0,,exterior finish,none,
ETOL_1945,AB_SF_concrete_b,separating_floor,265,1,-1,0,,interior finish,none,
ETOL_1945,AB_SF_concrete,separating_floor,266,0.1,0,150,,load-bearing structure,reinforced concrete,100x300 k 1000 reinforced concrete beams estimated
ETOL_1945,AB_SF_concrete,separating_floor,267,0.9,0,150,,soundproofing,wood chips and sawdust,
ETOL_1945,AB_SF_concrete,separating_floor,268,0.1,1,110,,load-bearing structure,reinforced concrete,100x300 k 1000 reinforced concrete beams estimated
ETOL_1945,AB_SF_concrete,separating_floor,269,0.9,1,110,,ventilation space,ventilation space,
ETOL_1945,AB_SF_concrete,separating_floor,270,1,2,70,,slab,reinforced concrete,
ETOL_1945,AB_SF_concrete,separating_floor,271,1,3,0,,exterior finish,none,
ETOL_1945,AB_SF_concrete,separating_floor,272,1,-1,40,,load-bearing structure,reinforced concrete,thin reinforced concrete slab
ETOL_1945,AB_SF_concrete,separating_floor,273,1,-2,0,,interior finish,none,
ETOL_1945,AB_R_concrete,roof,274,0.1,0,260,,load-bearing structure,reinforced concrete,100x300 k 1000 reinforced concrete beams estimated
ETOL_1945,AB_R_concrete,roof,275,0.9,0,260,,thermal insulation,wood chips and sawdust,
ETOL_1945,AB_R_concrete,roof,276,1,1,20,,boarding,wood,
ETOL_1945,AB_R_concrete,roof,277,1,2,70,,slab,reinforced concrete,
ETOL_1945,AB_R_concrete,roof,278,1,3,100,,ventilation space,ventilation space,
ETOL_1945,AB_R_concrete,roof,279,0.08333333333333333,4,100,,roof supports,wood,50x100 k 600 estimated
ETOL_1945,AB_R_concrete,roof,280,0.9166666666666666,4,100,,ventilation space,ventilation space,
ETOL_1945,AB_R_concrete,roof,281,1,5,20,,boarding,wood,
ETOL_1945,AB_R_concrete,roof,282,1,6,0,,exterior finish,none,roofing
ETOL_1945,AB_R_concrete,roof,283,1,-1,40,,load-bearing structure,reinforced concrete,thin reinforced concrete slab
ETOL_1945,AB_R_concrete,roof,284,1,-2,0,,interior finish,none,
